strategy,chunk_words,overlap_words,top_k,question,gold_answer,hit_gold_in_topk
small,200,50,2,How might gravity effects be observed differently according to Newton?,at larger distances.,1
small,200,50,2,What is the prize offered for finding a solution to P=NP?,"$1,000,000",1
small,200,50,2,What color were the Bronco's uniforms in Super Bowl 50?,white,1
small,200,50,2,What are the little tentacles that cydippids have called?,tentilla,1
small,200,50,2,Which lunar probe was near the Apollo 12 crew's landing site?,Surveyor 3,1
small,200,50,2,Electrolysis of what can be used to produce oxygen and hydrogen?,water,1
small,200,50,2,When was the Edict of Worms presented?,25 May 1521,1
small,200,50,2,How many other important people sent letters?,more than 70,1
small,200,50,2,What is an alternate way to make starch?,glucose monomers in the chloroplast can be linked together,1
small,200,50,2,What type of image was Tesla thought to have accidentally taken a week prior to the announcement of its discovery?,X-ray image,1
small,200,50,2,Where did Maududi's books place Islam?,in a modern context,1
small,200,50,2,What is the process of constructing a building or infrastructure?,Construction,1
small,200,50,2,How many will the host committee dedicate to local charities?,25 percent,1
small,200,50,2,In what city is SAP Center located?,San Jose,0
small,200,50,2,"For what invention was U.S. Patent 1,655,114 granted?",VTOL aircraft,1
small,200,50,2,For what purpose is oxygen used by animal life?,cellular respiration,1
small,200,50,2,By which year did the American cars mpg start to improve?,1985,1
small,200,50,2,Which religion did Kublai prefer?,"Buddhism, especially the Tibetan variants",1
small,200,50,2,Early Western texts referencing the East describe the people as being what?,irrational and backward,1
small,200,50,2,Who is the NFL's vice president of brand and creative?,Jaime Weston,1
small,200,50,2,What does Obersee mean?,upper lake,0
small,200,50,2,What types of engines are steam engines?,external combustion,1
small,200,50,2,In what process are electrons recycled?,cyclic photophosphorylation,1
small,200,50,2,What third type of plea uses creative words?,creative plea,1
small,200,50,2,What objects in organisms absorb singlet oxygen to prevent harm?,Carotenoids,1
small,200,50,2,"In a market economy, what is inequality a reflection of?",productivity gap between highly-paid professions and lower-paid professions,1
small,200,50,2,"What interpretation of Islam is, for many of the adherents, the ""gold standard"" of their religion?",Saudi,1
small,200,50,2,Ctenophores are less complex than what other group?,bilaterians,1
small,200,50,2,Who was the NFL Commissioner in early 2012?,Roger Goodell,1
small,200,50,2,In contrast how were Catholic saints portrayed?,frail Catholic saints,1
small,200,50,2,Infrastructure is often called what?,"heavy/highway, heavy civil or heavy engineering",1
small,200,50,2,How many years does the V&A glass collection cover?,4000,1
small,200,50,2,What does ctenophore use to capture prey?,colloblasts,1
small,200,50,2,What did Luther speak out about in Saxony?,the Jews,1
small,200,50,2,What chemical element was the cause of the Apollo 1 disastrous outcome?,pure O,1
small,200,50,2,Approximately how many works of art are included in the Far Eastern collections?,"more than 70,000",1
small,200,50,2,How many types of science fiction have been impacted by Tesla?,several,1
small,200,50,2,What did he do with Wardenclyffe?,sold,1
small,200,50,2,Whose plan called for the Mongolian army to split in two after the Khwarezmian conquest?,Subutai,1
small,200,50,2,Where was Tesla's property sent?,Belgrade,1
small,200,50,2,When did Sunday Night Football premiere on NBC?,2006,1
small,200,50,2,How many paintings did John Sheeshanks give to the museum?,233,1
small,200,50,2,Who was made rich and prosperous prior to World War 1,many imperial powers,1
small,200,50,2,"After the Oligocene period, under what period did the amazon rainforest begin to expand?",Middle Miocene,1
small,200,50,2,Which retired ref disagreed with the outcome of the challenge of a incomplete pass?,Mike Carey,1
small,200,50,2,Where are health and social problems most common?,among states in the US with larger income inequalities,1
small,200,50,2,When was the plastome discovered?,1962,1
small,200,50,2,Which study showed double the rate of anxiety?,2012,1
small,200,50,2,What trading route joined Khwarezmia and the Mongol Empire?,the Silk Road,1
small,200,50,2,Where did Tesla work in Budapest?,a telegraph company,1
small,200,50,2,What is the name of one type of prime where p+1 or p-1 takes a certain shape?,primorial primes,1
small,200,50,2,Where is the Santa Fe Railroad Depot located?,Downtown Fresno,1
small,200,50,2,Who won the battle of Lake George?,"inconclusively, with both sides withdrawing from the field",1
small,200,50,2,Clergy are members of what group rather than of any local congregation?,their Annual Conference,1
small,200,50,2,"On December 22nd 2009, ABC reached an agreement with Apple to make ABC shows available on what service?",iTunes,1
small,200,50,2,Who did the Parliament rent additional buildings from?,City of Edinburgh Council,1
small,200,50,2,What style of lace is erroneously believed by some to have Huguenot influence?,'Bucks Point',1
small,200,50,2,Who led Richard's troops when Cyprus was conquered?,Guy de Lusignan,1
small,200,50,2,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,1
small,200,50,2,When did Syria and Egypt launch a surprise attack on Israel?,"On October 6, 1973",1
small,200,50,2,The west side of Fresno is the center of which ethnic community?,African-American,1
small,200,50,2,How much did Tesla say Edison offered him to redesign his motor and generators?,fifty thousand dollars,1
small,200,50,2,By which year did full sized American cars shrink to be smaller?,1979,1
small,200,50,2,When did he talk about his thoughts on gender?,1926,1
small,200,50,2,Who led the Kievian Rus' troops against Subutai's Mongol army?,Mstislav the Bold of Halych and Mstislav III of Kiev,1
small,200,50,2,What do ctenophores have that no other animals have?,colloblasts,1
small,200,50,2,What impact did the high school education movement have on the wages of skilled workers?,decrease,1
small,200,50,2,What physical quantities do not have direction?,denoted scalar quantities,1
small,200,50,2,What cable provider did ABC reach an agreement with in 1993 to carry it's owned-and-operated stations in ABC O&O markets?,Time Warner Cable,1
small,200,50,2,Other than the desert city why do many locals and tourists frequent southern California?,beaches,1
