strategy,chunk_words,overlap_words,k,id,question,gold_answers,pred_answer,em,f1
small,200,50,1,573786b51c4567190057448d,How might gravity effects be observed differently according to Newton?,at larger distances. || at larger distances || at larger distances || at larger distances,As an inverse square law.,0.0,0.0
small,200,50,1,56e1ddfce3433e14004231d8,What is the prize offered for finding a solution to P=NP?,"$1,000,000 || US$1,000,000 || US$1,000,000","US$1,000,000",1.0,1.0
small,200,50,1,56bf48cc3aeaaa14008c95af,What color were the Bronco's uniforms in Super Bowl 50?,white || matching white jerseys || white,White and blue,0.0,0.5
small,200,50,1,5725c337271a42140099d164,What are the little tentacles that cydippids have called?,tentilla || tentilla || tentilla,Tentilla,1.0,1.0
small,200,50,1,5725e44238643c19005ace36,Which lunar probe was near the Apollo 12 crew's landing site?,Surveyor 3 || Surveyor 3 || Surveyor 3 || Surveyor 3 || Surveyor 3,Surveyor 3,1.0,1.0
small,200,50,1,571ccfbadd7acb1400e4c164,Electrolysis of what can be used to produce oxygen and hydrogen?,water || water || water || water,Water,1.0,1.0
small,200,50,1,56f827caa6d7ea1400e1743a,When was the Edict of Worms presented?,25 May 1521 || 25 May 1521 || 25 May 1521,25 May 1521,1.0,1.0
small,200,50,1,56e127bccd28a01900c6765f,How many other important people sent letters?,more than 70 || more than 70 || more than 70,More than 70,1.0,1.0
small,200,50,1,572976183f37b31900478431,What is an alternate way to make starch?,glucose monomers in the chloroplast can be linked together || glucose monomers || glucose monomers in the chloroplast,Linking glucose monomers together in chloroplasts,0.0,0.6
small,200,50,1,56e0f32d231d4119001ac4cb,What type of image was Tesla thought to have accidentally taken a week prior to the announcement of its discovery?,X-ray image || X-ray || X-ray image,An X-ray image.,1.0,1.0
small,200,50,1,5730005db2c2fd1400568707,Where did Maududi's books place Islam?,in a modern context || a modern context || modern context,In a modern context,1.0,1.0
small,200,50,1,57273a465951b619008f86ff,What is the process of constructing a building or infrastructure?,Construction || Construction || Construction,Construction involves site-specific work undertaken to build structures from start planning through design and financing until completion.,0.0,0.1111111111111111
small,200,50,1,56d71d150d65d2140019836f,How many will the host committee dedicate to local charities?,25 percent || 25 percent of all money || 25,25 percent of all money raised,0.0,0.9090909090909091
small,200,50,1,56bebde53aeaaa14008c9338,In what city is SAP Center located?,San Jose || San Jose || San Jose.,Not in the context provided; NOT_FOUND.,0.0,0.0
small,200,50,1,56e10b6ee3433e1400422b25,"For what invention was U.S. Patent 1,655,114 granted?",VTOL aircraft || VTOL aircraft || a biplane capable of taking off vertically,A biplane capable of taking off vertically and transitioning to conventional flight,0.0,0.7058823529411764
small,200,50,1,571c91c8dd7acb1400e4c10e,For what purpose is oxygen used by animal life?,cellular respiration || cellular respiration || cellular respiration || in cellular respiration || cellular respiration,Oxygen is used in cellular respiration and released by photosynthesis.,0.0,0.4615384615384615
small,200,50,1,57265bdfdd62a815002e82a0,By which year did the American cars mpg start to improve?,1985 || 1985 || 1985 || 1985 || 1985,1970,0.0,0.0
small,200,50,1,57287fec4b864d1900164a3d,Which religion did Kublai prefer?,"Buddhism, especially the Tibetan variants || Buddhism || Buddhism",Buddhism,1.0,1.0
small,200,50,1,57308f6b8ab72b1400f9c581,Early Western texts referencing the East describe the people as being what?,irrational and backward || them || as irrational and backward || irrational and backward || irrational and backward,Irrational and backward,1.0,1.0
small,200,50,1,56bebbbf3aeaaa14008c9317,Who is the NFL's vice president of brand and creative?,Jaime Weston || Jaime Weston || Weston,Jaime Weston,1.0,1.0
small,200,50,1,572f58d9a23a5019007fc57f,What does Obersee mean?,"upper lake || upper lake || (""upper lake"" || upper lake",NOT_FOUND,0.0,0.0
small,200,50,1,57112686b654c5140001fbd7,What types of engines are steam engines?,external combustion || external combustion || external combustion engines || external combustion,External combustion engines with separate working fluid from combustion products.,0.0,0.4615384615384615
small,200,50,1,572975511d046914007794a8,In what process are electrons recycled?,cyclic photophosphorylation || cyclic photophosphorylation || cyclic photophosphorylation,Cyclic photophosphorylation,1.0,1.0
small,200,50,1,5728ebcb3acd2414000e01dd,What third type of plea uses creative words?,creative plea || no contest || creative plea || creative plea || creative plea || creative plea,Creative Plea,1.0,1.0
small,200,50,1,571cb010dd7acb1400e4c12c,What objects in organisms absorb singlet oxygen to prevent harm?,Carotenoids || Carotenoids || Carotenoids || Carotenoids || Carotenoids,Carotenoids,1.0,1.0
small,200,50,1,5729d51d3f37b31900478593,"In a market economy, what is inequality a reflection of?",productivity gap between highly-paid professions and lower-paid professions || productivity gap || productivity gap,The productivity gap between different economic actors in various sectors.,0.0,0.3636363636363636
small,200,50,1,572ffd9e04bcaa1900d76fcb,"What interpretation of Islam is, for many of the adherents, the ""gold standard"" of their religion?",Saudi || the Saudi-interpretation || Saudi,"The strict, conservative Saudi-based Wahhabism or Salafism.",0.0,0.0
small,200,50,1,572646655951b619008f6ec3,Ctenophores are less complex than what other group?,bilaterians || bilaterians || bilaterians,Bilaterians,1.0,1.0
small,200,50,1,56be53b8acb8001400a50314,Who was the NFL Commissioner in early 2012?,Roger Goodell || Roger Goodell || Goodell,Roger Goodell,1.0,1.0
small,200,50,1,56f8cc399e9bad19000a0515,In contrast how were Catholic saints portrayed?,frail Catholic saints || frail || frail,As frail with a halo of light.,0.0,0.2857142857142857
